Abs,H,S,L,IndexHSL,Day,CPC
0.5672,0.742857143,0.178571429,0.787878788,0.76383177,0,0.1728
0.5672,0.714285714,0.142857143,0.787878788,0.713683059,0,0.1728
0.5672,0.771428571,0.178571429,0.787878788,0.789402758,0,0.1728
0.5672,0.8,0.142857143,0.818181818,0.80513596,0,0.1728
0.5672,0.771428571,0.214285714,0.818181818,0.79030674,0,0.1728
0.5672,0.771428571,0.214285714,0.818181818,0.787416228,0,0.1728
0.5672,0.8,0.142857143,0.757575758,0.804075734,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.786489925,0,0.1728
0.5672,0.8,0.178571429,0.818181818,0.801015027,0,0.1728
0.5672,0.771428571,0.178571429,0.818181818,0.778303861,0,0.1728
0.5672,0.8,0.178571429,0.757575758,0.814594296,0,0.1728
0.5672,0.742857143,0.142857143,0.878787879,0.738656972,0,0.1728
0.5672,0.8,0.142857143,0.818181818,0.798880624,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.766164268,0,0.1728
0.5672,0.857142857,0.142857143,0.848484848,0.865619089,0,0.1728
0.5672,0.885714286,0.107142857,0.878787879,0.905611946,0,0.1728
0.5672,0.742857143,0.107142857,0.787878788,0.753500142,0,0.1728
0.5672,0.742857143,0.178571429,0.818181818,0.762269331,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.772768363,0,0.1728
0.5672,0.8,0.178571429,0.787878788,0.818882633,0,0.1728
0.5672,0.8,0.178571429,0.787878788,0.804259878,0,0.1728
0.5672,0.685714286,0.178571429,0.818181818,0.691546647,0,0.1728
0.5672,0.857142857,0.142857143,0.878787879,0.85605194,0,0.1728
0.5672,0.8,0.178571429,0.878787879,0.804619797,0,0.1728
0.5672,0.714285714,0.178571429,0.878787879,0.730791766,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.786375532,0,0.1728
0.5672,0.771428571,0.142857143,0.878787879,0.786224868,0,0.1728
0.5672,0.771428571,0.178571429,0.757575758,0.793197252,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.778354082,0,0.1728
0.5672,0.685714286,0.107142857,0.848484848,0.684886751,0,0.1728
0.5672,0.771428571,0.178571429,0.818181818,0.786035144,0,0.1728
0.5672,0.742857143,0.142857143,0.818181818,0.751184385,0,0.1728
0.5672,0.714285714,0.107142857,0.878787879,0.728395096,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.768466076,0,0.1728
0.5672,0.742857143,0.178571429,0.818181818,0.763382569,0,0.1728
0.5672,0.742857143,0.178571429,0.787878788,0.743877192,0,0.1728
0.5672,0.685714286,0.142857143,0.787878788,0.701337001,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.793328386,0,0.1728
0.5672,0.714285714,0.142857143,0.848484848,0.735074523,0,0.1728
0.5672,0.771428571,0.142857143,0.787878788,0.772433554,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.783663585,0,0.1728
0.5672,0.828571429,0.178571429,0.787878788,0.835723493,0,0.1728
0.5672,0.771428571,0.142857143,0.787878788,0.782804243,0,0.1728
0.5672,0.742857143,0.142857143,0.818181818,0.738377965,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.770938077,0,0.1728
0.5672,0.742857143,0.142857143,0.848484848,0.753854481,0,0.1728
0.5672,0.828571429,0.142857143,0.787878788,0.840474981,0,0.1728
0.5672,0.771428571,0.214285714,0.818181818,0.773887181,0,0.1728
0.5672,0.771428571,0.178571429,0.818181818,0.781732856,0,0.1728
0.5672,0.8,0.142857143,0.818181818,0.806692819,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.768505137,0,0.1728
0.5672,0.857142857,0.178571429,0.878787879,0.863847394,0,0.1728
0.5672,0.8,0.142857143,0.848484848,0.796199367,0,0.1728
0.5672,0.771428571,0.178571429,0.848484848,0.77624758,0,0.1728
0.5672,0.828571429,0.178571429,0.818181818,0.832961324,0,0.1728
0.5672,0.857142857,0.178571429,0.757575758,0.869946486,0,0.1728
0.5672,0.8,0.142857143,0.848484848,0.798835983,0,0.1728
0.5672,0.771428571,0.107142857,0.787878788,0.781152522,0,0.1728
0.5672,0.828571429,0.178571429,0.787878788,0.828112183,0,0.1728
0.5672,0.771428571,0.142857143,0.848484848,0.772514467,0,0.1728
0.5672,0.8,0.142857143,0.787878788,0.802136635,0,0.1728
0.5672,0.828571429,0.142857143,0.848484848,0.849885886,0,0.1728
0.5672,0.742857143,0.178571429,0.848484848,0.741357759,0,0.1728
0.5672,0.8,0.178571429,0.878787879,0.814449212,0,0.1728
0.5672,0.828571429,0.178571429,0.848484848,0.846236475,0,0.1728
0.5672,0.8,0.071428571,1,0.811820967,0,0.1728
0.5672,0.771428571,0.142857143,0.909090909,0.774305691,0,0.1728
0.5672,0.828571429,0.178571429,0.939393939,0.83079623,0,0.1728
0.5672,0.771428571,0.178571429,0.939393939,0.782039764,0,0.1728
0.5672,0.771428571,0.178571429,0.96969697,0.779721216,0,0.1728
