C,M,Y,K,IndexCMYK,CPC
0.093023256,0,0.04,0.230769231,0.093018227,0.139
0.11627907,0,0.04,0.230769231,0.116272755,0.139
0.069767442,0,0.04,0.153846154,0.069763653,0.139
0.093023256,0,0.04,0.153846154,0.093018204,0.139
0.093023256,0,0.04,0.153846154,0.093018182,0.139
0.162790698,0,0.04,0.192307692,0.16278179,0.139
0.046511628,0,0.04,0.153846154,0.046509125,0.139
0.069767442,0,0.08,0.192307692,0.069765955,0.139
0.093023256,0,0.04,0.153846154,0.093018182,0.139
0.093023256,0,0.04,0.153846154,0.093018182,0.139
0.139534884,0,0.08,0.230769231,0.139529563,0.139
0.139534884,0,0.04,0.269230769,0.139527306,0.139
0.093023256,0,0.04,0.192307692,0.093018227,0.139
